x,y,z,token
1.1544565,5.3574414,27.437365,the
1.2993237,5.715249,26.734272,and
1.8555229,5.162374,27.353407,of
0.42476097,5.7817497,26.236012,to
-1.2303228,4.3432274,28.578037,a
1.9595004,5.3981013,27.349361,in
-2.2125223,-6.0430493,24.14367,i
-1.6329349,3.9517915,25.321848,that
-3.0591693,9.448514,26.602251,he
-2.2435322,4.598196,26.144741,it
-1.0511851,8.921422,27.043383,his
-0.9758604,4.7331758,25.236042,for
-5.5370755,-1.6503156,28.31715,was
1.4814297,6.2059503,26.616465,with
-1.6704897,3.2985666,24.50806,not
-9.842753,-2.859196,14.282213,is
-1.9846134,-5.9795136,23.956865,you
-2.210628,3.0941863,26.17979,be
0.11424576,2.763452,22.742998,as
-1.490891,4.2094955,25.2743,but
1.7452472,4.9579473,25.910934,all
-3.0143719,8.441596,29.003956,they
-3.0807033,8.395785,27.494085,him
-5.0997396,-11.290004,23.967865,shall
-26.5255,4.359104,22.939857,her
-1.8290955,-3.7947547,22.934513,my
-5.6603103,-1.894434,28.10027,had
-3.065616,8.417725,28.249142,them
-5.924883,-2.4165583,27.62211,have
-9.155419,16.169088,20.087547,s
-3.2249324,7.9267626,27.2181,me
-20.380047,9.531143,22.459227,said
0.3076096,6.6144576,23.454721,at
-26.53856,4.327101,22.910456,she
2.149298,6.193265,28.222534,from
16.762192,-17.482868,-4.9508214,unto
-1.2779894,4.362556,28.238642,this
-0.75052005,3.575864,25.889599,which
4.840365,8.189952,26.823168,on
9.124326,-23.64223,-3.8187582,lord
2.8565338,5.174573,27.378544,by
-2.8233256,8.457038,29.729015,their
-0.03367896,2.6978555,22.644257,so
-5.402516,-11.3552265,24.056044,will
-5.0850124,-0.7471857,29.145037,were
-4.9620814,-0.50217634,29.357632,are
-2.8316565,5.5405035,21.1427,there
-2.0083025,4.9465795,23.903973,when
1.9727569,4.149847,27.697721,or
12.077334,6.785142,22.403404,one
2.3520248,-9.359193,22.456543,no
-1.6564583,2.203644,24.525175,what
-13.489084,-10.541464,23.618671,"."""
2.5703068,21.71879,21.995924,out
-9.781922,7.2991776,17.33817,man
5.7258873,-26.267784,0.1673782,thy
1.2997226,7.465105,18.160587,--
5.8147254,-30.097548,2.868396,thou
8.550302,-22.909697,-4.5300884,god
-3.0368173,3.8029895,24.862762,if
-2.265638,-7.022673,22.473383,we
-1.8815929,-4.7419724,23.399002,your
-3.3964722,5.977556,24.61897,then
-3.750045,21.601679,20.151114,up
-1.3856319,4.18971,29.473843,an
5.651639,-26.393866,0.18336926,thee
-9.653084,-12.837733,19.885832,do
-18.190477,9.0529,21.919262,","""
-0.7811765,5.9565187,23.54845,now
-1.1665064,-6.0754366,24.143421,ye
4.8564014,8.205063,26.821674,upon
-3.644505,10.388102,11.363399,who
2.5640128,21.721102,22.002928,into
-16.154741,13.320055,-18.857536,more
-5.7890954,-14.5518055,24.150494,would
-20.285765,-5.966226,10.117878,very
-5.6560965,-12.2208185,18.394377,come
-6.2978907,-15.215881,23.792818,could
6.4078007,13.823532,11.059757,like
-3.2658193,5.3872724,16.594872,before
-19.454468,3.1481357,4.385182,been
2.607963,-10.138963,23.321852,any
-7.585958,32.14009,11.947986,came
1.4733828,12.874173,27.502062,day
22.307995,-10.880011,11.494372,king
-6.653268,-15.579071,23.51529,did
-10.393802,-14.300596,19.028868,know
-16.852757,13.339715,-18.471228,than
13.436025,6.883844,17.588537,house
